Topic,ProblemName,Difficulty,TimeComplexity,SpaceComplexity,FilePath,LeetCodeLink
1D Arrays,03.Implement_lower_upper_bound.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\03.Implement_lower_upper_bound.cpp,https://leetcode.com/problems/implement-lower-upper-bound/
1D Arrays,04.Search_insert_position.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\04.Search_insert_position.cpp,https://leetcode.com/problems/search-insert-position/
1D Arrays,05.Check_If_array_is_sorted.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\05.Check_If_array_is_sorted.cpp,https://leetcode.com/problems/check-if-array-is-sorted/
1D Arrays,06.First_and_last_position.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\06.First_and_last_position.cpp,https://leetcode.com/problems/first-and-last-position/
1D Arrays,07.Number_of_occurences.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\07.Number_of_occurences.cpp,https://leetcode.com/problems/number-of-occurences/
1D Arrays,08.Find_peak_element.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\08.Find_peak_element.cpp,https://leetcode.com/problems/find-peak-element/
1D Arrays,09.Search_in_rotated_sorted_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\09.Search_in_rotated_sorted_array.cpp,https://leetcode.com/problems/search-in-rotated-sorted-array/
1D Arrays,10.Search_in_rotated_sorted_array_with_duplicates.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\10.Search_in_rotated_sorted_array_with_duplicates.cpp,https://leetcode.com/problems/search-in-rotated-sorted-array-with-duplicates/
1D Arrays,11.Find_the_minimum_element_in_sorted_rotated_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\11.Find_the_minimum_element_in_sorted_rotated_array.cpp,https://leetcode.com/problems/find-the-minimum-element-in-sorted-rotated-array/
1D Arrays,12.Find_single_element_in_sorted_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\12.Find_single_element_in_sorted_array.cpp,https://leetcode.com/problems/find-single-element-in-sorted-array/
1D Arrays,13.Find_how_many_times_array_is_rotated.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\13.Find_how_many_times_array_is_rotated.cpp,https://leetcode.com/problems/find-how-many-times-array-is-rotated/
2D Arrays,1.Row_with_maximum_number_of_1's.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\2D Arrays\1.Row_with_maximum_number_of_1's.cpp,https://leetcode.com/problems/row-with-maximum-number-of-1s/
2D Arrays,2.Search_in_sorted_matrix.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\2D Arrays\2.Search_in_sorted_matrix.cpp,https://leetcode.com/problems/search-in-sorted-matrix/
2D Arrays,3.Search_in_rowwise_sorted_matrix.cpp,Unknown,"The time complexity of this algorithm is O(m + n), where m is the number of rows and n is the number of columns in the matrix.",The space complexity is O(1) since we are using constant extra space.,Strivers-A2Z-DSA-Sheet\02.Binary Search\2D Arrays\3.Search_in_rowwise_sorted_matrix.cpp,https://leetcode.com/problems/search-in-rowwise-sorted-matrix/
2D Arrays,4.Peak_element_in_matrix.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\2D Arrays\4.Peak_element_in_matrix.cpp,https://leetcode.com/problems/peak-element-in-matrix/
2D Arrays,5.Matrix_median.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\2D Arrays\5.Matrix_median.cpp,https://leetcode.com/problems/matrix-median/
In Search Space,01.Square_root_of_number.cpp,Unknown,O(log(x)),O(1),Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\01.Square_root_of_number.cpp,https://leetcode.com/problems/square-root-of-number/
In Search Space,02.Nth_root_of_integer.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\02.Nth_root_of_integer.cpp,https://leetcode.com/problems/nth-root-of-integer/
In Search Space,03.Koko_eating_banana.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\03.Koko_eating_banana.cpp,https://leetcode.com/problems/koko-eating-banana/
In Search Space,"You are given an integer array bloomDay, an integer m, and an integer k. You want to make m bouquets. To make a bouquet, you need to use k adjacent flowers from the garden.",Unknown,"The binary search approach takes O(log n), where n is the number of elements in the `bloomDay` array.",The space complexity is O(1) since we are using a constant amount of extra space.,Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\04.Minimum_days_to_make_boquets.cpp,https://leetcode.com/problems/you-are-given-an-integer-array-bloomday-an-integer-m-and-an-integer-k-you-want-to-make-m-bouquets-to-make-a-bouquet-you-need-to-use-k-adjacent-flowers-from-the-garden/
In Search Space,You are given an array of integers nums and an integer threshold. We need to find the smallest divisor,Unknown,O(n log(max(nums))),O(1),Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\05.Find_smallest_integer.cpp,https://leetcode.com/problems/you-are-given-an-array-of-integers-nums-and-an-integer-threshold-we-need-to-find-the-smallest-divisor/
In Search Space,A conveyor belt has packages that must be shipped from one port to another within days days.,Unknown,"O(N log M), where N is the size of the weights array and M is the sum of all the weights.",O(1) as we are using a constant amount of extra space.,Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\06.Capacity_to_ship_packages.cpp,https://leetcode.com/problems/a-conveyor-belt-has-packages-that-must-be-shipped-from-one-port-to-another-within-days-days/
In Search Space,"In the universe Earth C-137, Rick discovered a special form of magnetic force between two balls if they are put in his new invented basket. Rick has n empty baskets, the ith basket is at position[i], Morty has m balls and needs to distribute the balls into the baskets such that the minimum magnetic force between any two balls is maximum.",Unknown,"O(n log n), where n is the size of the position array. Sorting the array takes O(n log n) time and the binary search takes O(log n) time.","O(1), constant space is used.",Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\08.Aggresive_cows.cpp,https://leetcode.com/problems/in-the-universe-earth-c137-rick-discovered-a-special-form-of-magnetic-force-between-two-balls-if-they-are-put-in-his-new-invented-basket-rick-has-n-empty-baskets-the-ith-basket-is-at-positioni-morty-has-m-balls-and-needs-to-distribute-the-balls-into-the-baskets-such-that-the-minimum-magnetic-force-between-any-two-balls-is-maximum/
In Search Space,"You have N books, each with Ai number of pages. M students need to be allocated contiguous books, with each student getting at least one book. Out of all the permutations, the goal is to find the permutation where the student with the most pages allocated to him gets the minimum number of pages, out of all possible permutations.",Unknown,"O(N log S), where N is the number of books and S is the sum of all the pages in the array. The binary search takes log S iterations, and for each iteration, we check the validity of allocation in O(N) time.","O(1), as we are using a constant amount of extra space.",Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\09.Book_allocation.cpp,https://leetcode.com/problems/you-have-n-books-each-with-ai-number-of-pages-m-students-need-to-be-allocated-contiguous-books-with-each-student-getting-at-least-one-book-out-of-all-the-permutations-the-goal-is-to-find-the-permutation-where-the-student-with-the-most-pages-allocated-to-him-gets-the-minimum-number-of-pages-out-of-all-possible-permutations/
In Search Space,"Given an integer array nums and an integer k, split nums into k non-empty subarrays such that the largest sum of any subarray is minimized. Return the minimized largest sum of the split.",Unknown,O(n * log(sum of array)),O(1),Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\10.Split_array_largest.cpp,https://leetcode.com/problems/given-an-integer-array-nums-and-an-integer-k-split-nums-into-k-nonempty-subarrays-such-that-the-largest-sum-of-any-subarray-is-minimized-return-the-minimized-largest-sum-of-the-split/
In Search Space,"Given a sorted array arr of positive integers and an integer k, find the kth positive integer that is missing from the array.",Unknown,"O(log n), where n is the size of the array.",O(1),Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\11.Kth_missing_number.cpp,https://leetcode.com/problems/given-a-sorted-array-arr-of-positive-integers-and-an-integer-k-find-the-kth-positive-integer-that-is-missing-from-the-array/
In Search Space,12.Gas_station.cpp,Unknown,"O(N log M), where N is the number of existing gas stations and M is the range of distances between adjacent gas stations.","O(1), as we are using constant extra space.",Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\12.Gas_station.cpp,https://leetcode.com/problems/gas-station/
In Search Space,13.Median_of_two_sorted_arrays.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\13.Median_of_two_sorted_arrays.cpp,https://leetcode.com/problems/median-of-two-sorted-arrays/
In Search Space,-,Unknown,"O(log(min(N, M)))",O(1),Strivers-A2Z-DSA-Sheet\02.Binary Search\In Search Space\14.Kth_element_of_two_sorted_arrays.cpp,https://leetcode.com/problems//
1.Easy,"Given a valid parentheses string `s`, remove the outermost parentheses of every primitive string in the primitive decomposition of `s`.",Unknown,"O(N), where N is the length of the input string `s`.","O(N), where N is the length of the input string `s`.",Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\01.Remove_outer_parenthesis.cpp,https://leetcode.com/problems/given-a-valid-parentheses-string-s-remove-the-outermost-parentheses-of-every-primitive-string-in-the-primitive-decomposition-of-s/
1.Easy,"Given an input string s, reverse the order of the words.",Unknown,"O(n), where n is the length of the input string 's'.","O(n), where n is the length of the input string 's'.",Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\02.Reverse_words_in_string.cpp,https://leetcode.com/problems/given-an-input-string-s-reverse-the-order-of-the-words/
1.Easy,"You are given a string num, representing a large integer. Return the largest-valued odd integer (as a string) that is a non-empty substring of num, or an empty string """" if no odd integer exists.",Unknown,"O(N), where N is the length of the input string num.",O(1),Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\03.Largest_odd_number_in_string.cpp,https://leetcode.com/problems/you-are-given-a-string-num-representing-a-large-integer-return-the-largestvalued-odd-integer-as-a-string-that-is-a-nonempty-substring-of-num-or-an-empty-string-if-no-odd-integer-exists/
1.Easy,Write a function to find the longest common prefix string amongst an array of strings.,Unknown,"O(N*M*log(N)), where N is the number of strings and M is the maximum length of the strings.",O(1),Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\04.Longest_common_prefix.cpp,https://leetcode.com/problems/write-a-function-to-find-the-longest-common-prefix-string-amongst-an-array-of-strings/
1.Easy,"Given two strings s and t, determine if they are isomorphic.",Unknown,"O(n), where n is the length of the input strings s and t.","O(m), where m is the number of unique characters in the input strings s and t.",Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\05.Isomorphic_string.cpp,https://leetcode.com/problems/given-two-strings-s-and-t-determine-if-they-are-isomorphic/
1.Easy,06.Check_for_rotated_string.cpp,Unknown,"The time complexity of this approach is O(N^2), where N is the length of the input strings `s` and `goal`. This is because the `find` function is used to search for the substring `goal` within the concatenated string, which has a time complexity of O(N^2).","The space complexity is O(N), where N is the length of the input string `s`. This is because we create a new string `concat` by concatenating `s` with itself.",Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\06.Check_for_rotated_string.cpp,https://leetcode.com/problems/check-for-rotated-string/
1.Easy,07.Valid_anagram.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\03.Strings\1.Easy\07.Valid_anagram.cpp,https://leetcode.com/problems/valid-anagram/
2.Medium,"Given a string s, sort it in decreasing order based on the frequency of the characters.",Unknown,"O(n log n), where n is the length of the string. Building the frequency map takes O(n) time, and the priority queue operations take O(n log n) time.","O(n), where n is the length of the string. The space is used to store the frequency map and the priority queue.",Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\01.Sort_characters_by_frequency.cpp,https://leetcode.com/problems/given-a-string-s-sort-it-in-decreasing-order-based-on-the-frequency-of-the-characters/
2.Medium,"Given a VPS represented as a string s, return the nesting depth of s.",Unknown,"O(n), where n is the length of the string `s`.",O(1),Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\02.Max_nesting_depth_of_parenthesis.cpp,https://leetcode.com/problems/given-a-vps-represented-as-a-string-s-return-the-nesting-depth-of-s/
2.Medium,"Given a Roman numeral as a string, convert it to an integer.",Unknown,"O(n), where n is the length of the input string `s`.",O(1),Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\03.Roman_to_Integer.cpp,https://leetcode.com/problems/given-a-roman-numeral-as-a-string-convert-it-to-an-integer/
2.Medium,04.Implement_atoi.cpp,Unknown,"The function scans the input string once, resulting in a linear time complexity of O(n), where n is the length of the input string.","The function uses a constant amount of extra space, resulting in constant space complexity, O(1).",Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\04.Implement_atoi.cpp,https://leetcode.com/problems/implement-atoi/
2.Medium,05.Count_the_number_of_substrings_with_k_unique_characters.cpp,Unknown,"O(N), where N is the length of the input string.","O(K), where K is the number of distinct characters.*/",Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\05.Count_the_number_of_substrings_with_k_unique_characters.cpp,https://leetcode.com/problems/count-the-number-of-substrings-with-k-unique-characters/
2.Medium,-,Unknown,"O(n^2), where n is the length of the input string `s`. The nested loops iterate over all possible pairs of indices.","O(1), as we are using a constant amount of extra space.",Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\06.Longest_palindromic_substring.cpp,https://leetcode.com/problems//
2.Medium,The beauty of a string is the difference in frequencies between the most frequent and least frequent characters.,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\03.Strings\2.Medium\07.Sum_of_beauty_of_all_substrings.cpp,https://leetcode.com/problems/the-beauty-of-a-string-is-the-difference-in-frequencies-between-the-most-frequent-and-least-frequent-characters/
1. Single Linked List,01.Intro_to_linked_list.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\1. Single Linked List\01.Intro_to_linked_list.cpp,https://leetcode.com/problems/intro-to-linked-list/
1. Single Linked List,02.Inserting_node_to_linked_list.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\1. Single Linked List\02.Inserting_node_to_linked_list.cpp,https://leetcode.com/problems/inserting-node-to-linked-list/
1. Single Linked List,03.Deleting_node_in_linked_list.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\1. Single Linked List\03.Deleting_node_in_linked_list.cpp,https://leetcode.com/problems/deleting-node-in-linked-list/
1. Single Linked List,04.Count_the_number_of_nodes_linked_list.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\1. Single Linked List\04.Count_the_number_of_nodes_linked_list.cpp,https://leetcode.com/problems/count-the-number-of-nodes-linked-list/
1. Single Linked List,05.Search_element_in_linked_list.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\1. Single Linked List\05.Search_element_in_linked_list.cpp,https://leetcode.com/problems/search-element-in-linked-list/
2.Doubly Linked List,01.Introduction_to_Double_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\2.Doubly Linked List\01.Introduction_to_Double_LL.cpp,https://leetcode.com/problems/introduction-to-double-ll/
2.Doubly Linked List,02.Insert_node_in_DLL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\2.Doubly Linked List\02.Insert_node_in_DLL.cpp,https://leetcode.com/problems/insert-node-in-dll/
2.Doubly Linked List,03.Delete_node_in_DLL.cpp,Unknown,"- If the node to be deleted is the head node (position 1), the code performs a constant number of operations, resulting in a time complexity of O(1).","- The code uses a constant amount of extra space for variables (`temp`, `previous`). Hence, the space complexity is O(1).",Strivers-A2Z-DSA-Sheet\04.Linked List\2.Doubly Linked List\03.Delete_node_in_DLL.cpp,https://leetcode.com/problems/delete-node-in-dll/
2.Doubly Linked List,04.Reverse_DLL.cpp,Unknown,"- The code iterates over each node of the doubly linked list exactly once, performing a constant number of operations for each node. Therefore, the time complexity is O(n), where n is the number of nodes in the linked list.","- The code uses a constant amount of extra space for variables (`curr`, `nxt`, `ans`). Hence, the space complexity is O(1).",Strivers-A2Z-DSA-Sheet\04.Linked List\2.Doubly Linked List\04.Reverse_DLL.cpp,https://leetcode.com/problems/reverse-dll/
3.Medium Problems of LL,01.Find_mid_of_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\01.Find_mid_of_LL.cpp,https://leetcode.com/problems/find-mid-of-ll/
3.Medium Problems of LL,02.Reverse_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\02.Reverse_LL.cpp,https://leetcode.com/problems/reverse-ll/
3.Medium Problems of LL,03.Detect_loop_in_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\03.Detect_loop_in_LL.cpp,https://leetcode.com/problems/detect-loop-in-ll/
3.Medium Problems of LL,04.Start_of_cycle_in_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\04.Start_of_cycle_in_LL.cpp,https://leetcode.com/problems/start-of-cycle-in-ll/
3.Medium Problems of LL,05.Count_nodes_in_loop.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\05.Count_nodes_in_loop.cpp,https://leetcode.com/problems/count-nodes-in-loop/
3.Medium Problems of LL,06.Check_for_palindrome_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\06.Check_for_palindrome_LL.cpp,https://leetcode.com/problems/check-for-palindrome-ll/
3.Medium Problems of LL,07.Odd_even_LL.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\04.Linked List\3.Medium Problems of LL\07.Odd_even_LL.cpp,https://leetcode.com/problems/odd-even-ll/
